#,date,home_team,away_team,home_score,away_score,tournament,country,home,margin
1,7/22/2018,Liberia,Sierra Leone,0,0,Friendly,Liberia,1,0
2,7/25/2018,Sint Maarten,British Virgin Islands,2,3,Friendly,Sint Maarten,1,-1
3,7/27/2018,Saint Barthelemy,Anguilla,1,2,Friendly,Saint Barthelemy,1,-1
4,7/27/2018,British Virgin Islands,Saint Martin,0,0,Friendly,Saint Barthelemy,0,0
5,7/28/2018,Saint Martin,Anguilla,5,1,Friendly,Saint Barthelemy,0,4
6,7/28/2018,Saint Barthelemy,British Virgin Islands,3,4,Friendly,Saint Barthelemy,1,-1
7,8/4/2018,Palestine,Iraq,0,3,Friendly,Palestine,1,-3
8,8/4/2018,Belize,Barbados,1,0,Friendly,Belize,1,1
9,8/11/2018,Guadeloupe,Dominica,0,0,Friendly,Guadeloupe,1,0
10,8/15/2018,Guatemala,Cuba,3,0,Friendly,Guatemala,1,3
11,8/17/2018,Grenada,Jamaica,1,5,Friendly,Grenada,1,-4
12,8/18/2018,Andorra,United Arab Emirates,0,0,Friendly,Austria,0,0
13,8/18/2018,Guatemala,Cuba,1,0,Friendly,Guatemala,1,1
14,8/18/2018,French Guiana,Suriname,0,4,Friendly,French Guiana,1,-4
15,8/19/2018,Afghanistan,Palestine,0,0,Friendly,Afghanistan,1,0
16,8/20/2018,Barbados,Jamaica,2,2,Friendly,Barbados,1,0
17,8/22/2018,Sint Maarten,Anguilla,1,1,Friendly,Sint Maarten,1,0
18,8/26/2018,Lesotho,Eswatini,1,0,Friendly,Lesotho,1,1
19,8/26/2018,Barbados,Cuba,0,0,Friendly,Barbados,1,0
20,8/26/2018,Anguilla,Saint Martin,1,2,Friendly,Anguilla,1,-1
21,8/27/2018,Lesotho,Eswatini,2,0,Friendly,Lesotho,1,2
22,8/29/2018,Macao,Solomon Islands,1,4,Friendly,Macao,1,-3
23,8/29/2018,Bangladesh,Sri Lanka,0,1,Friendly,Bangladesh,1,-1
24,8/29/2018,Barbados,Cuba,0,2,Friendly,Barbados,1,-2
25,9/1/2018,East Timor,Brunei,3,1,Southeast Asian Champ qual,Malaysia,0,2
26,9/2/2018,Mongolia,Macao,4,1,East Asian Championship qual,Mongolia,1,3
27,9/2/2018,Guam,Northern Mariana Islands,4,0,East Asian Championship qual,Mongolia,0,4
28,9/2/2018,Ethiopia,Burundi,1,1,Friendly,Ethiopia,1,0
29,9/4/2018,Mongolia,Northern Mariana Islands,9,0,East Asian Championship qual,Mongolia,1,9
30,9/4/2018,Macao,Guam,2,0,East Asian Championship qual,Mongolia,0,2
31,9/4/2018,Pakistan,Nepal,2,1,South Asian Championship,Bangladesh,0,1
32,9/4/2018,Bangladesh,Bhutan,2,0,South Asian Championship,Bangladesh,1,2
33,9/5/2018,India,Sri Lanka,2,0,South Asian Championship,Bangladesh,0,2
34,9/5/2018,Fiji,Solomon Islands,1,1,Friendly,Fiji,1,0
35,9/5/2018,Slovakia,Denmark,3,0,Friendly,Slovakia,1,3
36,9/6/2018,Bahrain,Philippines,1,1,Friendly,Bahrain,1,0
37,9/6/2018,Jordan,Lebanon,0,1,Friendly,Jordan,1,-1
38,9/6/2018,Mongolia,Guam,1,1,East Asian Championship qual,Mongolia,1,0
39,9/6/2018,Macao,Northern Mariana Islands,1,1,East Asian Championship qual,Mongolia,0,0
40,9/6/2018,Uzbekistan,Syria,1,1,Friendly,Uzbekistan,1,0
41,9/6/2018,Bangladesh,Pakistan,1,0,South Asian Championship,Bangladesh,1,1
42,9/6/2018,Kyrgyzstan,Palestine,1,1,Friendly,Kyrgyzstan,1,0
43,9/6/2018,Trinidad and Tobago,United Arab Emirates,2,0,Friendly,Spain,0,2
44,9/6/2018,Nepal,Bhutan,4,0,South Asian Championship,Bangladesh,0,4
45,9/6/2018,Guyana,Barbados,2,2,CONCACAF Nations League q,Guyana,1,0
46,9/6/2018,Dominica,Suriname,0,0,CONCACAF Nations League q,Guadeloupe,0,0
47,9/6/2018,Netherlands,Peru,2,1,Friendly,Netherlands,1,1
48,9/6/2018,Wales,Ireland,4,1,European Nations League B,Wales,1,3
49,9/6/2018,Austria,Sweden,2,0,Friendly,Austria,1,2
50,9/6/2018,Germany,France,0,0,European Nations League A,Germany,1,0
51,9/6/2018,Norway,Cyprus,2,0,European Nations League C,Norway,1,2
52,9/6/2018,Portugal,Croatia,1,1,Friendly,Portugal,1,0
53,9/6/2018,Latvia,Andorra,0,0,European Nations League D,Latvia,1,0
54,9/6/2018,Slovenia,Bulgaria,1,2,European Nations League C,Slovenia,1,-1
55,9/6/2018,Czechia,Ukraine,1,2,European Nations League B,Czechia,1,-1
56,9/6/2018,Armenia,Liechtenstein,2,1,European Nations League D,Armenia,1,1
57,9/6/2018,Kazakhstan,Georgia,0,2,European Nations League D,Kazakhstan,1,-2
58,9/6/2018,Gibraltar,Macedonia,0,2,European Nations League D,Gibraltar,1,-2
59,9/7/2018,Qatar,China,1,0,Friendly,Qatar,1,1
60,9/7/2018,South Korea,Costa Rica,2,0,Friendly,South Korea,1,2
61,9/7/2018,Taiwan,Malaysia,2,0,Friendly,Taiwan,1,2
62,9/7/2018,Maldives,Sri Lanka,0,0,South Asian Championship,Bangladesh,0,0
63,9/7/2018,Singapore,Mauritius,1,1,Friendly,Singapore,1,0
64,9/7/2018,United States,Brazil,0,2,Friendly,United States,1,-2
65,9/7/2018,Argentina,Guatemala,3,0,Friendly,United States,0,3
66,9/7/2018,Uruguay,Mexico,4,1,Friendly,United States,0,3
67,9/7/2018,Ecuador,Jamaica,2,0,Friendly,United States,0,2
68,9/7/2018,Anguilla,French Guiana,0,5,CONCACAF Nations League q,Anguilla,1,-5
69,9/7/2018,Antigua and Barbuda,Saint Lucia,0,3,CONCACAF Nations League q,Antigua and Barbuda,1,-3
70,9/7/2018,Belize,Bahamas,4,0,CONCACAF Nations League q,Belize,1,4
71,9/7/2018,Colombia,Venezuela,2,1,Friendly,United States,0,1
72,9/7/2018,Scotland,Belgium,0,4,Friendly,Scotland,1,-4
73,9/7/2018,Italy,Poland,1,1,European Nations League A,Italy,1,0
74,9/7/2018,Turkey,Russia,1,2,European Nations League B,Turkey,1,-1
75,9/7/2018,Romania,Montenegro,0,0,European Nations League C,Romania,1,0
76,9/7/2018,Lithuania,Serbia,0,1,European Nations League C,Lithuania,1,-1
77,9/7/2018,Albania,Israel,1,0,European Nations League C,Albania,1,1
78,9/7/2018,Faroe Islands,Malta,3,1,European Nations League D,Faroe Islands,1,2
79,9/7/2018,Azerbaijan,Kosovo,0,0,European Nations League D,Azerbaijan,1,0
80,9/8/2018,Pakistan,Bhutan,3,0,South Asian Championship,Bangladesh,0,3
81,9/8/2018,Brunei,East Timor,1,0,Southeast Asian Champ qual,Brunei,1,1
82,9/8/2018,Bangladesh,Nepal,0,2,South Asian Championship,Bangladesh,1,-2
83,9/8/2018,Egypt,Niger,6,0,African Nations Cup qualifier,Egypt,1,6
